Objra,Objdec,mangaid,plateifu
205.22713,0.18668,     4-20990 ,   8267-1901 
235.540149707,28.2569582583,    1-316933 ,   9041-3701 
150.562932234,34.3278287288,    1-390999 ,   8944-6104 
85.336548,-3.1001322,  3-52008985 ,   8897-1902 
140.44174,47.235081, 3-149693701 ,   9670-3702 
166.55729,12.159789, 3-113585039 ,   9065-6103 
189.958285005,45.9335624945,    1-259058 ,   8341-3702 
85.317835,-12.006393,  53-1343492 ,   9676-9102 
81.12736,-0.50254401,  7-26857214 ,   9478-9102 
243.21139,52.200458, 3-157005178 ,   8920-9102 
194.922091018,28.5071906731,    1-404243 ,   9876-9101 
204.674179172,27.742410862,    1-626829 ,   8952-6103 
133.575121613,26.5061185067,    1-386154 ,   9506-1902 
258.027617964,57.5040078073,     1-24099 ,   7991-1902 
314.78041,64.354898,  7-19930530 ,  9263-12703 
171.657261919,51.5730412626,    1-149561 ,   8992-3702 
172.171842047,21.8469437624,    1-491220 ,   8450-1902 
118.813053873,33.6421529369,    1-121334 ,   8977-1902 
213.103435454,44.4608684501,    1-265988 ,   8329-6103 
195.046405681,28.0652475985,    1-456877 ,   9876-1901 
37.243852,62.223289,  7-23407784 ,   9248-9102 
120.321277844,39.2168224228,     1-72087 ,   9182-6101 
294.98573,45.842046,  7-17762348 ,  9304-12705 
229.32448,29.40054,    1-593748 ,  9891-12703 
126.329009561,20.3980989477,    1-412858 ,   9488-9101 
213.432186232,43.6624813137,    1-569225 ,   8329-3701 
182.857363346,44.4360205784,    1-258311 ,   8262-1901 
56.862717,68.123581,       51-13 ,  9673-12701 
240.75582,5.5987956, 3-139680671 ,   8640-3704 
240.01002,5.8846134, 3-139452167 ,  8636-12705 
100.5395,22.951726, 3-154951898 ,   8804-6102 
195.875167844,28.2747193004,    1-624035 ,   8949-3703 
130.048209256,22.7358865802,    1-413040 ,   9493-6104 
288.27586,-2.6576801,  3-71440319 ,   9117-6102 
117.481133465,29.420208304,    1-556516 ,  8146-12704 
176.61123,1.80251,     27-1871 ,   8052-3701 
152.3264,25.779175, 3-131370202 ,   9669-1901 
