Objra,Objdec,mangaid,plateifu
321.2944,11.25861,     4-12646 ,  8121-12701 
121.241758658,19.3137174702,    1-382729 ,  9490-12701 
71.779895,32.341433,  3-15068751 ,  8666-12701 
195.04559,27.980153,        50-1 ,  8953-12701 
56.765213,68.132114,       51-47 ,  9675-12701 
82.911935,9.930105,  7-26817123 ,  8884-12701 
225.1172,37.063188,  7-11773785 ,  9658-12701 
196.611052618,45.2889996883,    1-259650 ,  8318-12701 
170.678746873,22.2607085632,    1-489846 ,  8450-12701 
141.42497,28.44811,      4-2957 ,  8100-12701 
142.11198,56.408239,   7-5855974 ,  9540-12701 
288.32709,45.758614,  7-17149533 ,  9803-12701 
282.49343,48.09737,  7-16611204 ,  8668-12701 
152.0299,24.910359,   7-6463921 ,  9691-12701 
194.88387,27.972318,        50-2 ,  9051-12701 
85.64284,0.34766396,  3-45745687 ,  8890-12701 
39.6372182443,-0.867466146077,     1-36703 ,  8153-12701 
222.211849357,30.5643527667,    1-373219 ,  9002-12701 
254.43817,-21.505406, 3-125307389 ,  8557-12701 
82.744235,10.449165,  7-26853319 ,  8879-12701 
239.20122,5.7661495, 3-138739239 ,  8634-12701 
205.83793,-1.170914,  7-10274928 ,  9685-12701 
41.472368,-12.705761, 3-103630542 ,  8663-12701 
348.44234,53.01297,      27-440 ,  7997-12701 
212.27199404,53.7953553221,    1-245082 ,  8591-12701 
115.166941043,42.4539538291,    1-338709 ,  8137-12701 
206.13123,-0.8482,     4-20929 ,  8266-12701 
132.61684,11.91407,   7-4853914 ,  8973-12701 
299.36303,43.515179,  7-18315137 ,  9080-12701 
190.51847,-3.605016, 3-109232315 ,  8929-12701 
8.660303,33.434042,  7-24681529 ,  8684-12701 
40.76275,36.46143,     4-15008 ,  8113-12701 
207.326358419,24.0968478145,    1-592100 ,  8443-12701 
119.269012898,40.9951474269,     1-44015 ,  8143-12701 
113.62225,66.76861,   7-2268020 ,  9666-12701 
247.718035556,41.2861515449,    1-135568 ,  8601-12701 
82.798354,10.565894,  7-26750555 ,  8882-12701 
143.010196099,48.551093077,    1-155978 ,  8439-12701 
248.140561423,39.1310206842,    1-210700 ,  8603-12701 
83.141237,-6.446492,  7-26761136 ,  9533-12701 
182.356279647,46.5493574132,    1-281439 ,  8261-12701 
297.63435,18.828972, 54-38642114 ,  9975-12701 
120.063604131,27.5899885407,    1-164062 ,  8941-12701 
125.3163,0.453674,   7-4271319 ,  8795-12701 
201.656942881,31.666750115,    1-421728 ,  8444-12701 
216.58591,50.100761, 3-149936005 ,  9006-12701 
245.456709242,23.7700790091,    1-295299 ,  9048-12701 
257.957539798,57.1109334787,     1-24003 ,  8625-12701 
80.682019,23.900373,  3-14754320 ,  8774-12701 
260.126453553,52.6430405566,    1-595146 ,  9196-12701 
175.96285,34.454913,   7-8302390 ,  8816-12701 
140.96261,27.95053,      4-2855 ,  8099-12701 
67.259486,25.339074,  3-29810829 ,  9287-12701 
98.40447,6.4382,     27-1787 ,  8050-12701 
285.23219,32.173595,  7-16841273 ,  9122-12701 
259.163918329,59.2537114887,     1-23372 ,  8624-12701 
318.4638,31.676612,  3-58985469 ,  8664-12701 
52.4907,63.71428,      27-892 ,  8039-12701 
328.81583,54.984836,  3-36482801 ,  8691-12701 
288.91883,43.175683,  7-17121664 ,  9079-12701 
66.476383,61.957963,   3-5437919 ,  8809-12701 
163.545250015,44.624237731,    1-276574 ,  8255-12701 
86.096367,-0.090000179,  3-45746415 ,  8891-12701 
339.06573,43.817754,  3-71621293 ,  8697-12701 
227.329239945,42.6750722013,    1-321938 ,  9871-12701 
226.72184,66.31856,     4-16327 ,  8112-12701 
128.195861645,22.576562509,    1-384809 ,  9493-12701 
115.387477093,47.8710058847,    1-378360 ,  8239-12701 
80.787748,1.4265541,  3-51011157 ,  8902-12701 
283.52599,16.64061,  7-17072697 ,  9295-12701 
198.24297,31.25866,    1-624909 ,  8322-12701 
210.176336711,45.8334223968,    1-286558 ,  8325-12701 
117.667900971,21.2322212035,    1-229567 ,  9497-12701 
84.268452,-8.271901,  3-62470792 ,  9661-12701 
191.87396,11.1826,     4-20311 ,  8269-12701 
